account_age_days,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,avg_stars_per_repo,avg_forks_per_repo,repository_maintenance_ratio,churn
4459,2.9489,2.1111,0.0278,0.9722,0.0278,0.0,0.0,0
1242,0.2941,19.0,1.0,0.0,1.0,0.0,1.0,0
3084,0.9475,2.375,0.125,0.875,0.375,0.25,0.125,1
1368,12.0148,0.5,0.0,1.0,0.0,0.0444,0.0,0
4589,1.2735,19.0,0.0625,0.9375,0.25,1.5,0.0,0
4372,0.6683,0.3878,0.125,0.875,0.0,0.0,0.125,0
2425,9.6396,1.0556,0.0938,0.9062,0.3281,0.0,0.0469,0
5754,0.3174,1.4615,0.0,1.0,0.0,0.0,0.0,0
1419,0.5148,19.0,0.0,1.0,0.0,0.0,0.0,1
5397,1.9626,0.7308,0.0345,0.9655,0.069,0.069,0.0345,0
1585,7.6046,4.75,0.0303,0.9697,0.0303,0.0,0.0606,0
3546,0.721,0.475,0.0,1.0,0.2857,0.0,0.0,0
3767,2.7149,0.6129,0.2143,0.7857,0.4643,0.0,0.1429,0
1914,4.5799,0.5135,0.0833,0.9167,0.0417,0.0,0.0417,0
3184,0.9177,0.8636,0.0,1.0,0.25,0.5,0.0,0
1331,10.9767,0.7917,0.05,0.95,0.6,0.025,0.075,0
2064,4.601,0.6552,0.2308,0.7692,0.1923,0.0,0.0769,0
3667,2.1913,0.2969,0.1818,0.8182,0.2727,0.2273,0.0909,0
2661,1.6471,0.5294,0.1667,0.8333,0.1667,0.4167,0.0833,0
4960,7.4376,0.5,0.0,1.0,0.0297,0.0594,0.0,1
4095,2.8542,0.8571,0.0,1.0,0.0,0.0625,0.0,1
2517,0.0,0.6207,0.0,0.0,0.0,0.0,0.0,0
3604,1.8242,0.5143,0.0,1.0,0.7778,0.3889,0.0,0
2774,3.1601,1.3846,0.125,0.875,0.2083,0.0417,0.125,0
3709,2.3634,1.3846,0.0833,0.9167,0.125,0.0833,0.0833,0
5149,0.8512,0.45,0.0,1.0,0.1667,0.0,0.0,0
2457,0.7433,1.0,0.0,1.0,0.0,0.0,0.0,1
2193,12.1583,1.0,0.0,1.0,0.0137,0.0959,0.0,1
