login,days_since_last_activity,account_age_days,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,avg_stars_per_repo,avg_forks_per_repo,repo_activity_density,repository_maintenance_ratio
mariokarajallo,91,4535,4.7519,0.75,0.1017,0.8983,0.339,0.2034,0.4832,0.0339
Gubrux,41,1430,12.5156,1.7333,0.0204,0.9796,0.1224,0.0,0.2554,0.0
hugocampanoli,189,4652,1.8058,1.1304,0.0,1.0,0.0,0.0,0.0,0.0
loorely,289,5536,0.9897,8.6667,0.0,1.0,0.2667,0.0,0.0,0.0
AlejoAsd,14,5690,2.6319,2.8889,0.0244,0.9756,0.1951,0.0488,0.0642,0.0488
egrazm,45,420,26.0893,0.6047,0.3667,0.6333,0.8,0.1333,9.5661,0.1
miguelmchavez,64,4581,0.7176,1.8571,0.0,1.0,2.0,1.3333,0.0,0.0
mauriciv,23,4073,2.78,0.7647,0.0645,0.9355,0.0968,0.0323,0.1794,0.0
penguin-codepro,668,789,1.3888,26.0,0.0,1.0,3.3333,0.3333,0.0,0.0
hisapy,111,5487,2.5961,4.3333,0.1026,0.8974,0.6154,1.4615,0.2663,0.0256
p431i7o,100,6152,2.078,1.1304,0.0,1.0,0.1143,0.0,0.0,0.0
RickSpider,33,3822,2.0069,2.0833,0.2381,0.7619,1.0476,0.0476,0.4778,0.1905
keiren-z,80,3907,2.9916,0.2174,0.0,1.0,0.0625,0.0312,0.0,0.0
frostbitepy,27,1497,10.4915,0.4808,0.0698,0.9302,0.093,0.0233,0.732,0.0698
ortiz-ivan,26,560,18.9147,1.3158,0.4138,0.5862,0.0,0.0,7.8268,0.1034
christianjara,112,4645,0.3145,0.5952,0.0,1.0,1.0,0.0,0.0,0.0
tuliomonteiro,6,4741,4.4684,0.2,0.069,0.931,0.0172,0.0345,0.3082,0.0517
jrgonzalez3,73,3857,11.5532,1.5625,0.0246,0.9754,0.0492,0.041,0.2841,0.0
carlosbflores,1838,4808,0.3798,1.0,0.0,1.0,0.0,0.2,0.0,0.0
centaurustech,28,4827,25.6515,0.5556,0.0059,0.9941,0.0826,0.0265,0.1513,0.0029
jorgediazsa,6,4341,2.6083,0.7576,0.2258,0.7742,0.0968,0.0645,0.589,0.0323
markimeyer,7,4432,0.2472,2.7778,0.0,1.0,0.3333,0.0,0.0,0.0
ozzbetto,38,3626,0.9066,1.087,0.6667,0.3333,0.0,0.0,0.6044,0.4444
piojita,229,5472,1.0012,1.1364,0.0,1.0,0.1333,0.0667,0.0,0.0
MemoArguello,3,2045,5.3582,0.8065,0.0,1.0,0.4333,0.0,0.0,0.0
MHHukiewitz,32,2110,5.3662,0.4211,0.0968,0.9032,0.2258,0.0645,0.5193,0.129
LucasGinard,63,2418,4.5316,2.1818,0.1333,0.8667,0.7667,0.3,0.6042,0.0333
